"","nfi_plot","meas_date","smtree_biomass","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","utm_n","utm_e","smtree_percent/100","smtree_percent/100 * smtree_biomass"
"29",1025421,"2016-AUG-23",163.8354,0,1,3,"SALI","SPP","",1,0.016,6850000,390000,0.01,1.638354
"30",1025421,"2016-AUG-23",163.8354,0,1,1,"POPU","TRE","",99,0.967,6850000,390000,0.99,162.197046
"31",1025421,"2016-AUG-23",163.8354,0,1,2,"PICE","GLA","",1,0.016,6850000,390000,0.01,1.638354
"32",1025501,"2003-AUG-19",199.7108,0,0,1,"PICE","GLA","",100,0.978,6800000,390000,1,199.7108
"33",1025501,"2003-AUG-19",199.7108,0,0,2,"POPU","BAL","",0,0.022,6800000,390000,0,0
"34",1025501,"2009-JUL-23",44.1768,0,1,1,"PICE","GLA","",100,1,6800000,390000,1,44.1768
"35",1032241,"2004-JUL-14",37.6887,0,0,1,"PICE","GLA","",100,1,6840000,470000,1,37.6887
"36",1032241,"2018-AUG-18",34.8958,0,1,1,"PICE","GLA","",100,1,6840000,470000,1,34.8958
"37",1039166,"2004-JUL-15",56.4002,0,0,5,"BETU","GLA","",1,0.026,6820000,650000,0.01,0.564002
"38",1039166,"2016-AUG-21",37.4594,0,1,1,"POPU","TRE","",100,1,6820000,650000,1,37.4594
"39",1039211,"2003-AUG-26",1.0613,0,0,2,"POPU","TRE","",25,0.25,6790000,510000,0.25,0.265325
"40",1039211,"2003-AUG-26",1.0613,0,0,1,"POPU","BAL","",75,0.75,6790000,510000,0.75,0.795975
"41",1039211,"2009-JUL-26",5.2024,0,1,1,"POPU","TRE","",100,1,6790000,510000,1,5.2024
"42",1046006,"2004-JUL-10",109.0776,0,0,1,"PINU","BAN","",96,0.962,6800000,490000,0.96,104.714496
"43",1046006,"2004-JUL-10",109.0776,0,0,2,"SALI","SCO","",3,0.032,6800000,490000,0.03,3.272328
"44",1046006,"2004-JUL-10",109.0776,0,0,3,"POPU","TRE","",1,0.006,6800000,490000,0.01,1.090776
"45",1046006,"2017-AUG-13",232.5221,0,1,1,"PINU","BAN","",100,1,6800000,490000,1,232.5221
"46",1046031,"2004-JUL-13",46.0868,0,0,1,"PICE","MAR","",100,1,6800000,590000,1,46.0868
"47",1046031,"2017-AUG-15",40.2547,0,1,1,"PICE","MAR","",100,1,6800000,590000,1,40.2547
"48",1046046,"2004-JUL-15",91.7777,0,0,1,"PICE","MAR","",94,0.915,6800000,650000,0.94,86.271038
"49",1046046,"2004-JUL-15",91.7777,0,0,2,"PICE","GLA","",4,0.064,6800000,650000,0.04,3.671108
"50",1046046,"2004-JUL-15",91.7777,0,0,3,"LARI","LAR","",2,0.021,6800000,650000,0.02,1.835554
"51",1046046,"2009-JUL-28",74.2419,0,1,1,"PICE","MAR","",86,0.929,6800000,650000,0.86,63.848034
"52",1046086,"2003-AUG-16",14.7542,0,0,1,"PICE","MAR","",77,0.762,6780000,480000,0.77,11.360734
"53",1046086,"2003-AUG-16",14.7542,0,0,2,"PICE","GLA","",23,0.238,6780000,480000,0.23,3.393466
"54",1046086,"2015-AUG-22",259.9469,0,1,1,"PICE","MAR","",85,0.836,6780000,480000,0.85,220.954865
"55",1046086,"2015-AUG-22",259.9469,0,1,2,"PICE","GLA","",15,0.164,6780000,480000,0.15,38.992035
"56",1052886,"2004-JUL-11",41.7236,0,0,1,"PICE","MAR","",100,1,6780000,490000,1,41.7236
"57",1052886,"2017-AUG-14",80.3915,0,1,1,"PICE","MAR","",100,1,6780000,490000,1,80.3915
"58",1052971,"2004-JUL-22",181.5491,0,0,3,"PICE","GLA","",4,0.054,6750000,500000,0.04,7.261964
"59",1052971,"2015-AUG-15",194.3161,0,1,3,"PICE","GLA","",8,0.119,6750000,500000,0.08,15.545288
"60",1059821,"2003-AUG-17",29.2288,0,0,1,"LARI","LAR","",100,1,6750000,380000,1,29.2288
"61",1059821,"2015-AUG-23",30.6946,0,1,1,"LARI","LAR","",100,1,6750000,380000,1,30.6946
"62",1059831,"2003-AUG-17",20.7731,0,0,1,"PICE","MAR","",99,0.909,6740000,420000,0.99,20.565369
"63",1059831,"2003-AUG-17",20.7731,0,0,2,"LARI","LAR","",2,0.091,6740000,420000,0.02,0.415462
"64",1059831,"2015-AUG-22",20.0711,0,1,1,"PICE","MAR","",96,0.923,6740000,420000,0.96,19.268256
"65",1059831,"2015-AUG-22",20.0711,0,1,2,"LARI","LAR","",4,0.077,6740000,420000,0.04,0.802844
"66",1059836,"2004-JUL-17",62.09,0,0,1,"PICE","MAR","",100,1,6740000,440000,1,62.09
"67",1059836,"2015-AUG-21",87.5167,0,1,1,"PICE","MAR","",100,1,6740000,440000,1,87.5167
"68",1059906,"2003-AUG-22",71.0821,0,0,1,"PICE","GLA","",64,0.75,6700000,390000,0.64,45.492544
"69",1059906,"2015-AUG-17",56.0587,0,1,1,"PICE","GLA","",63,0.8,6700000,390000,0.63,35.316981
"70",1059906,"2015-AUG-17",56.0587,0,1,2,"POPU","TRE","",37,0.2,6700000,390000,0.37,20.741719
"71",1066646,"2004-JUL-08",91.0303,0,0,1,"SALI","SCO","",86,0.824,6740000,490000,0.86,78.286058
"72",1066646,"2004-JUL-08",91.0303,0,0,2,"PICE","GLA","",8,0.118,6740000,490000,0.08,7.282424
"73",1066646,"2004-JUL-08",91.0303,0,0,3,"POPU","TRE","",7,0.059,6740000,490000,0.07,6.372121
"74",1066646,"2017-AUG-09",10.0561,0,1,1,"PICE","GLA","",100,1,6740000,490000,1,10.0561
"75",1066676,"2004-JUL-21",48.4633,0,0,1,"PICE","MAR","",100,1,6740000,610000,1,48.4633
"76",1066676,"2017-AUG-16",63.7852,0,1,1,"PICE","MAR","",100,1,6740000,610000,1,63.7852
"77",1066691,"2004-JUL-20",8.2733,0,0,1,"PICE","MAR","",100,1,6730000,340000,1,8.2733
"78",1066691,"2017-AUG-16",4.6936,0,1,1,"PICE","MAR","",100,1,6730000,340000,1,4.6936
"79",1066766,"2003-AUG-21",44.0244,0,0,1,"PICE","MAR","",100,1,6700000,630000,1,44.0244
"80",1066766,"2015-AUG-18",56.3582,0,1,1,"PICE","MAR","",100,1,6700000,630000,1,56.3582
"81",1073521,"2004-JUL-12",18.4189,0,0,1,"BETU","PAP","",94,0.75,6720000,470000,0.94,17.313766
"82",1073521,"2004-JUL-12",18.4189,0,0,2,"PICE","GLA","",6,0.25,6720000,470000,0.06,1.105134
"83",1073521,"2017-AUG-13",18.1551,0,1,3,"PICE","MAR","",8,0.167,6720000,470000,0.08,1.452408
"84",1073566,"2004-JUL-20",28.3086,0,0,1,"PICE","MAR","",57,0.7,6720000,640000,0.57,16.135902
"85",1073566,"2004-JUL-20",28.3086,0,0,2,"LARI","LAR","",43,0.3,6720000,640000,0.43,12.172698
"86",1073566,"2009-JUL-29",34.6698,0,1,1,"PICE","MAR","",64,0.727,6720000,640000,0.64,22.188672
"87",1073566,"2009-JUL-29",34.6698,0,1,2,"LARI","LAR","",36,0.273,6720000,640000,0.36,12.481128
"88",1080421,"2004-JUL-09",52.4349,0,0,1,"PICE","MAR","",80,0.714,6700000,540000,0.8,41.94792
"89",1080421,"2004-JUL-09",52.4349,0,0,2,"LARI","LAR","",20,0.286,6700000,540000,0.2,10.48698
"90",1080421,"2017-AUG-11",48.8202,0,1,1,"PICE","MAR","",77,0.786,6700000,540000,0.77,37.591554
"91",1080421,"2017-AUG-11",48.8202,0,1,2,"LARI","LAR","",23,0.214,6700000,540000,0.23,11.228646
"92",1080431,"2004-JUL-21",56.9842,0,0,1,"SALI","SCO","",63,0.571,6700000,580000,0.63,35.900046
"93",1080431,"2017-AUG-11",15.6663,0,1,1,"PICE","MAR","",100,1,6700000,580000,1,15.6663
"94",1080471,"2003-AUG-18",66.8061,0,0,1,"PICE","MAR","",100,1,6690000,410000,1,66.8061
"95",1080471,"2009-JUL-25",78.7055,0,1,1,"PICE","MAR","",100,1,6690000,410000,1,78.7055
"96",1080481,"2003-AUG-20",158.3637,0,0,1,"PICE","MAR","",100,1,6680000,450000,1,158.3637
"97",1080481,"2009-JUL-25",176.4618,0,1,1,"PICE","MAR","",100,1,6680000,450000,1,176.4618
"98",1087331,"2004-JUL-21",93.636,0,0,1,"PICE","MAR","",100,1,6680000,660000,1,93.636
"99",1087331,"2017-AUG-10",51.0963,0,1,1,"PICE","MAR","",100,1,6680000,660000,1,51.0963
"100",1087351,"2003-AUG-18",39.3463,0,0,1,"PICE","MAR","",99,0.969,6670000,410000,0.99,38.952837
"101",1087351,"2003-AUG-18",39.3463,0,0,2,"PINU","BAN","",1,0.031,6670000,410000,0.01,0.393463
"102",1087351,"2015-AUG-19",46.5912,0,1,1,"PICE","MAR","",97,0.976,6670000,410000,0.97,45.193464
"103",1087351,"2015-AUG-19",46.5912,0,1,2,"PINU","BAN","",4,0.024,6670000,410000,0.04,1.863648
"104",1087376,"2003-AUG-15",5.4754,0,0,1,"PICE","GLA","",100,1,6650000,510000,1,5.4754
"105",1087376,"2015-AUG-19",6.5359,0,1,1,"PICE","GLA","",100,1,6650000,510000,1,6.5359
"106",1094196,"2009-JUL-29",69.5169,0,0,1,"PICE","MAR","",100,1,6660000,600000,1,69.5169
"107",1094196,"2021-JUL-24",114.051,0,1,1,"PICE","MAR","",100,1,6660000,600000,1,114.051
"108",812056,"2005-AUG-08",30.4491,0,0,4,"SALI","PLA","",5,0.174,7480000,400000,0.05,1.522455
"109",812056,"2005-AUG-08",30.4491,0,0,5,"SALI","SPP","",4,0.13,7480000,400000,0.04,1.217964
"110",812056,"2021-JUL-17",5.2925,0,1,1,"PICE","GLA","",100,1,7480000,400000,1,5.2925
"111",846436,"2005-AUG-12",44.1825,0,0,1,"PICE","MAR","",99,0.933,7380000,580000,0.99,43.740675
"112",846436,"2005-AUG-12",44.1825,0,0,2,"BETU","GLA","",1,0.067,7380000,580000,0.01,0.441825
"113",846436,"2021-JUL-19",47.6854,0,1,1,"PICE","MAR","",100,1,7380000,580000,1,47.6854
"114",853296,"2005-AUG-13",73.9545,0,0,7,"PICE","MAR","",1,0.021,7360000,510000,0.01,0.739545
"115",853296,"2005-AUG-13",73.9545,0,0,1,"PICE","GLA","",74,0.375,7360000,510000,0.74,54.72633
"116",853296,"2021-JUL-21",75.9795,0,1,4,"POPU","TRE","",1,0.04,7360000,510000,0.01,0.759795
"117",853296,"2021-JUL-21",75.9795,0,1,1,"PICE","GLA","",40,0.52,7360000,510000,0.4,30.3918
"118",853296,"2021-JUL-21",75.9795,0,1,2,"PICE","MAR","",36,0.24,7360000,510000,0.36,27.35262
"119",853296,"2021-JUL-21",75.9795,0,1,3,"LARI","LAR","",23,0.2,7360000,510000,0.23,17.475285
"120",853326,"2005-AUG-12",43.5627,0,0,2,"LARI","LAR","",45,0.286,7360000,620000,0.45,19.603215
"121",853326,"2005-AUG-12",43.5627,0,0,1,"PICE","MAR","",46,0.429,7360000,620000,0.46,20.038842
"122",853326,"2021-JUL-18",46.1759,0,1,3,"PICE","GLA","",10,0.182,7360000,620000,0.1,4.61759
"123",853346,"2005-AUG-09",28.4695,0,0,1,"PICE","GLA","",95,0.583,7360000,430000,0.95,27.046025
"124",853346,"2005-AUG-09",28.4695,0,0,2,"SALI","SPP","",3,0.25,7360000,430000,0.03,0.854085
"125",853346,"2005-AUG-09",28.4695,0,0,3,"ALNU","CRI","",1,0.083,7360000,430000,0.01,0.284695
"126",853346,"2005-AUG-09",28.4695,0,0,4,"PICE","MAR","",1,0.083,7360000,430000,0.01,0.284695
"127",853346,"2021-JUL-20",39.0148,0,1,1,"PICE","GLA","",100,1,7360000,430000,1,39.0148
"128",860171,"2006-JUL-26",10.303,0,0,1,"PICE","MAR","",97,0.909,7330000,490000,0.97,9.99391
"129",860171,"2006-JUL-26",10.303,0,0,2,"PICE","GLA","",3,0.091,7330000,490000,0.03,0.30909
"130",860171,"2021-JUL-21",54.5923,0,1,1,"PICE","MAR","",100,1,7330000,490000,1,54.5923
"131",867091,"2005-AUG-07",38.2319,0,0,3,"BETU","GLA","",6,0.195,7320000,370000,0.06,2.293914
"132",867091,"2005-AUG-07",38.2319,0,0,4,"SALI","SPP","",3,0.098,7320000,370000,0.03,1.146957
"133",867091,"2005-AUG-07",38.2319,0,0,5,"SALI","PLA","",2,0.049,7320000,370000,0.02,0.764638
"134",867091,"2005-AUG-07",38.2319,0,0,6,"LARI","LAR","",1,0.024,7320000,370000,0.01,0.382319
"135",867091,"2021-JUL-17",77.2051,0,1,1,"PICE","MAR","",66,0.575,7320000,370000,0.66,50.955366
"136",867091,"2021-JUL-17",77.2051,0,1,2,"PICE","GLA","",20,0.275,7320000,370000,0.2,15.44102
"137",867091,"2021-JUL-17",77.2051,0,1,3,"LARI","LAR","",15,0.15,7320000,370000,0.15,11.580765
"138",873921,"2006-JUL-24",58.9988,0,0,1,"PICE","MAR","",82,0.702,7290000,450000,0.82,48.379016
"139",873921,"2006-JUL-24",58.9988,0,0,2,"LARI","LAR","",18,0.298,7290000,450000,0.18,10.619784
"140",873921,"2021-JUL-16",79.0491,0,1,1,"PICE","MAR","",79,0.633,7290000,450000,0.79,62.448789
"141",873921,"2021-JUL-16",79.0491,0,1,2,"LARI","LAR","",21,0.367,7290000,450000,0.21,16.600311
"142",873961,"2005-AUG-01",31.7832,0,0,1,"PICE","MAR","",84,0.429,7300000,610000,0.84,26.697888
"143",873961,"2005-AUG-01",31.7832,0,0,4,"PICE","SPP","",2,0.143,7300000,610000,0.02,0.635664
"144",873961,"2019-AUG-03",42.745,0,1,1,"PICE","MAR","",78,0.667,7300000,610000,0.78,33.3411
"145",873961,"2019-AUG-03",42.745,0,1,2,"LARI","LAR","",19,0.278,7300000,610000,0.19,8.12155
"146",873961,"2019-AUG-03",42.745,0,1,3,"PICE","GLA","",3,0.056,7300000,610000,0.03,1.28235
"147",880786,"2006-JUL-26",36.4429,0,0,1,"PICE","MAR","",100,1,7270000,390000,1,36.4429
"148",880786,"2021-JUL-16",62.9512,0,1,1,"PICE","MAR","",100,1,7270000,390000,1,62.9512
"149",880796,"2006-JUL-25",20.6194,0,0,1,"PICE","MAR","",85,0.565,7270000,430000,0.85,17.52649
"150",880796,"2006-JUL-25",20.6194,0,0,2,"LARI","LAR","",15,0.435,7270000,430000,0.15,3.09291
"151",880796,"2021-JUL-13",32.7094,0,1,1,"PICE","MAR","",84,0.692,7270000,430000,0.84,27.475896
"152",880796,"2021-JUL-13",32.7094,0,1,2,"LARI","LAR","",16,0.308,7270000,430000,0.16,5.233504
"153",880806,"2002-AUG-12",50.2,0,0,1,"PICE","MAR","",98,0.875,7280000,470000,0.98,49.196
"154",880806,"2002-AUG-12",50.2,0,0,2,"LARI","LAR","",2,0.125,7280000,470000,0.02,1.004
"155",880806,"2021-JUL-15",72.4083,0,1,1,"PICE","MAR","",83,0.875,7280000,470000,0.83,60.098889
"156",880806,"2021-JUL-15",72.4083,0,1,2,"LARI","LAR","",17,0.125,7280000,470000,0.17,12.309411
"157",880821,"2005-AUG-01",20.6464,0,0,5,"PICE","GLA","",2,0.03,7280000,530000,0.02,0.412928
"158",880821,"2021-JUL-14",43.8488,0,1,1,"PICE","MAR","",37,0.789,7280000,530000,0.37,16.224056
"159",880846,"2002-AUG-09",1.9776,0,0,2,"PICE","MAR","",33,0.333,7280000,630000,0.33,0.652608
"160",880846,"2002-AUG-09",1.9776,0,0,1,"LARI","LAR","",67,0.667,7280000,630000,0.67,1.324992
"161",880846,"2019-AUG-04",12.5488,0,1,1,"LARI","LAR","",63,0.571,7280000,630000,0.63,7.905744
"162",880846,"2019-AUG-04",12.5488,0,1,2,"PICE","MAR","",37,0.429,7280000,630000,0.37,4.643056
"163",880886,"2005-AUG-03",64.7154,0,0,1,"PICE","GLA","",93,0.655,7280000,510000,0.93,60.185322
"164",880886,"2019-AUG-07",72.8868,0,1,1,"PICE","GLA","",100,1,7280000,510000,1,72.8868
"165",887701,"2005-AUG-02",34.927,0,0,1,"PICE","MAR","",94,0.714,7260000,530000,0.94,32.83138
"166",887701,"2005-AUG-02",34.927,0,0,2,"ALNU","CRI","",2,0.095,7260000,530000,0.02,0.69854
"167",887701,"2005-AUG-02",34.927,0,0,3,"BETU","GLA","",2,0.095,7260000,530000,0.02,0.69854
"168",887701,"2005-AUG-02",34.927,0,0,4,"LARI","LAR","",2,0.095,7260000,530000,0.02,0.69854
"169",887701,"2021-JUL-13",8.2619,0,1,1,"PICE","MAR","",100,1,7260000,530000,1,8.2619
"170",887706,"2005-JUL-31",23.6752,0,0,1,"BETU","GLA","",60,0.6,7260000,550000,0.6,14.20512
"171",887706,"2005-JUL-31",23.6752,0,0,2,"ALNU","CRI","",20,0.2,7260000,550000,0.2,4.73504
"172",887706,"2005-JUL-31",23.6752,0,0,3,"SALI","SPP","",20,0.2,7260000,550000,0.2,4.73504
"173",887706,"2019-AUG-02",9.2078,0,1,1,"PICE","MAR","",72,0.938,7260000,550000,0.72,6.629616
"174",887706,"2019-AUG-02",9.2078,0,1,2,"LARI","LAR","",28,0.063,7260000,550000,0.28,2.578184
"175",887711,"2002-AUG-09",0.4784,0,0,1,"PICE","MAR","",100,1,7260000,570000,1,0.4784
"176",887711,"2019-AUG-01",0.5236,0,1,1,"POPU","TRE","",100,1,7260000,570000,1,0.5236
"177",887751,"2005-AUG-03",51.2194,0,0,1,"PICE","MAR","",87,0.769,7260000,450000,0.87,44.560878
"178",887751,"2005-AUG-03",51.2194,0,0,2,"LARI","LAR","",12,0.077,7260000,450000,0.12,6.146328
"179",887751,"2005-AUG-03",51.2194,0,0,3,"PICE","GLA","",1,0.077,7260000,450000,0.01,0.512194
"180",887751,"2005-AUG-03",51.2194,0,0,4,"SALI","SPP","",1,0.077,7260000,450000,0.01,0.512194
"181",887751,"2019-AUG-05",57.3439,0,1,1,"PICE","MAR","",73,0.727,7260000,450000,0.73,41.861047
"182",887751,"2019-AUG-05",57.3439,0,1,2,"PICE","GLA","",17,0.182,7260000,450000,0.17,9.748463
"183",887751,"2019-AUG-05",57.3439,0,1,3,"LARI","LAR","",11,0.091,7260000,450000,0.11,6.307829
"184",894591,"2005-JUL-30",60.4674,0,0,4,"BETU","PAP","",9,0.081,7240000,570000,0.09,5.442066
"185",894591,"2005-JUL-30",60.4674,0,0,5,"BETU","PAP","NEO",1,0.027,7240000,570000,0.01,0.604674
"186",894591,"2019-JUL-31",170.7672,0,1,1,"PICE","MAR","",60,0.526,7240000,570000,0.6,102.46032
"187",901546,"2006-JUL-30",93.5929,0,0,1,"PICE","MAR","",57,0.675,7210000,580000,0.57,53.347953
"188",901546,"2006-JUL-30",93.5929,0,0,2,"PICE","GLA","",31,0.3,7210000,580000,0.31,29.013799
"189",901546,"2006-JUL-30",93.5929,0,0,3,"LARI","LAR","",12,0.025,7210000,580000,0.12,11.231148
"190",901546,"2019-AUG-06",78.2343,0,1,2,"PICE","GLA","",23,0.256,7210000,580000,0.23,17.993889
"191",901546,"2019-AUG-06",78.2343,0,1,1,"PICE","MAR","",76,0.718,7210000,580000,0.76,59.458068
"192",901546,"2019-AUG-06",78.2343,0,1,3,"LARI","LAR","",1,0.026,7210000,580000,0.01,0.782343
"193",901566,"2005-AUG-05",36.8916,0,0,1,"PICE","MAR","",100,1,7210000,380000,1,36.8916
"194",901566,"2019-AUG-06",49.2436,0,1,1,"PICE","MAR","",100,1,7210000,380000,1,49.2436
"195",908331,"2002-AUG-19",4.9222,0,0,1,"PICE","MAR","",100,1,7200000,490000,1,4.9222
"196",908331,"2021-JUL-14",2.7908,0,1,1,"PICE","GLA","",100,1,7200000,490000,1,2.7908
"197",908381,"2005-JUL-29",36.5071,0,0,1,"PICE","MAR","",100,1,7200000,410000,1,36.5071
"198",908381,"2019-AUG-02",NA,0,1,1,"PICE","MAR","",100,1,7200000,410000,1,NA
"199",915246,"2002-AUG-28",47.3108,0,0,3,"PICE","MAR","",1,0.01,7180000,630000,0.01,0.473108
"200",915246,"2002-AUG-28",47.3108,0,0,1,"PICE","SPP","",98,0.98,7180000,630000,0.98,46.364584
"201",915246,"2002-AUG-28",47.3108,0,0,2,"PICE","GLA","",1,0.01,7180000,630000,0.01,0.473108
"202",915246,"2019-JUL-31",24.6093,0,1,1,"PICE","MAR","",93,0.941,7180000,630000,0.93,22.886649
"203",915246,"2019-JUL-31",24.6093,0,1,2,"BETU","PAP","",7,0.059,7180000,630000,0.07,1.722651
"204",915266,"2005-AUG-29",51.9801,0,0,1,"PICE","MAR","",98,0.925,7180000,430000,0.98,50.940498
"205",915266,"2005-AUG-29",51.9801,0,0,2,"ALNU","CRI","",1,0.038,7180000,430000,0.01,0.519801
"206",915266,"2005-AUG-29",51.9801,0,0,3,"BETU","GLA","",1,0.019,7180000,430000,0.01,0.519801
"207",915266,"2005-AUG-29",51.9801,0,0,4,"SALI","SPP","",1,0.019,7180000,430000,0.01,0.519801
"208",915266,"2019-AUG-01",115.6473,0,1,1,"PICE","MAR","",100,1,7180000,430000,1,115.6473
"209",915301,"2005-AUG-04",1.8475,0,0,1,"SALI","PLA","",60,0.6,7180000,560000,0.6,1.1085
"210",915301,"2005-AUG-04",1.8475,0,0,2,"POPU","TRE","",40,0.4,7180000,560000,0.4,0.739
"211",915301,"2019-AUG-09",20.5365,0,1,1,"POPU","TRE","",89,0.463,7180000,560000,0.89,18.277485
"212",915301,"2019-AUG-09",20.5365,0,1,2,"SALI","GLA","",6,0.341,7180000,560000,0.06,1.23219
"213",915301,"2019-AUG-09",20.5365,0,1,3,"PICE","MAR","",5,0.171,7180000,560000,0.05,1.026825
"214",915301,"2019-AUG-09",20.5365,0,1,4,"POPU","BAL","",1,0.024,7180000,560000,0.01,0.205365
"215",929016,"2004-AUG-28",126.346,0,0,1,"PICE","MAR","",100,1,7140000,380000,1,126.346
"216",929016,"2018-AUG-23",217.7845,0,1,1,"PICE","MAR","",100,1,7140000,380000,1,217.7845
"217",929021,"2004-AUG-29",55.7482,0,0,1,"PICE","MAR","",100,1,7140000,400000,1,55.7482
"218",929021,"2018-AUG-24",92.513,0,1,1,"PICE","MAR","",100,1,7140000,400000,1,92.513
"219",929061,"2005-AUG-05",42.0332,0,0,1,"PICE","MAR","",59,0.786,7140000,560000,0.59,24.799588
"220",929061,"2005-AUG-05",42.0332,0,0,2,"LARI","LAR","",38,0.107,7140000,560000,0.38,15.972616
"221",929061,"2005-AUG-05",42.0332,0,0,3,"SALI","SPP","",2,0.071,7140000,560000,0.02,0.840664
"222",929061,"2005-AUG-05",42.0332,0,0,4,"SHEP","CAN","",1,0.036,7140000,560000,0.01,0.420332
"223",929061,"2018-AUG-29",83.7609,0,1,1,"PICE","MAR","",83,0.921,7140000,560000,0.83,69.521547
"224",929061,"2018-AUG-29",83.7609,0,1,2,"LARI","LAR","",17,0.079,7140000,560000,0.17,14.239353
"225",929066,"2005-AUG-06",110.9155,0,0,1,"PICE","MAR","",84,0.889,7140000,580000,0.84,93.16902
"226",929066,"2005-AUG-06",110.9155,0,0,2,"PICE","GLA","",17,0.111,7140000,580000,0.17,18.855635
"227",929066,"2019-AUG-09",166.5901,0,1,1,"PICE","MAR","",84,0.796,7140000,580000,0.84,139.935684
"228",935891,"2004-AUG-30",45.7679,0,0,1,"PICE","MAR","",88,0.563,7120000,360000,0.88,40.275752
"229",935891,"2004-AUG-30",45.7679,0,0,2,"BETU","NEO","",12,0.438,7120000,360000,0.12,5.492148
"230",935891,"2019-JUL-30",51.7005,0,1,4,"BETU","NEO","",2,0.053,7120000,360000,0.02,1.03401
"231",942786,"2004-SEP-01",19.5937,0,0,1,"POPU","TRE","",100,1,7100000,420000,1,19.5937
"232",942786,"2018-AUG-25",31.6729,0,1,1,"POPU","TRE","",100,1,7100000,420000,1,31.6729
"233",949656,"2004-SEP-02",46.708,0,0,1,"PICE","MAR","",92,0.7,7080000,380000,0.92,42.97136
"234",949656,"2004-SEP-02",46.708,0,0,2,"BETU","NEO","",8,0.3,7080000,380000,0.08,3.73664
"235",949656,"2018-AUG-27",29.6347,0,1,1,"PICE","MAR","",71,0.667,7080000,380000,0.71,21.040637
"236",949656,"2018-AUG-27",29.6347,0,1,2,"BETU","PAP","",29,0.333,7080000,380000,0.29,8.594063
"237",970321,"2004-AUG-25",0.8388,0,0,1,"POPU","TRE","",75,0.75,7020000,480000,0.75,0.6291
